sido,year,pop_change_year,pop_avg_year
서울특별시,2023,-42338.0,9411668.5
서울특별시,2024,-54206.0,9362506.166666666
부산광역시,2023,-24450.0,3305709.75
부산광역시,2024,-26764.0,3279175.25
대구광역시,2023,-11917.0,2368099.3333333335
대구광역시,2024,-11331.0,2367545.0833333335
인천광역시,2023,30096.0,2982062.3333333335
인천광역시,2024,23600.0,3011741.0833333335
광주광역시,2023,-11813.0,1424697.1666666667
광주광역시,2024,-10815.0,1413230.6666666667
대전광역시,2023,-3856.0,1444698.1666666667
대전광역시,2024,-3059.0,1440578.75
울산광역시,2023,-7002.0,1105955.4166666667
울산광역시,2024,-5612.0,1100133.0833333333
세종특별자치시,2023,2934.0,385860.6666666667
세종특별자치시,2024,4160.0,388654.5833333333
경기도,2023,41389.0,13616756.333333334
경기도,2024,63864.0,13664972.416666666
강원특별자치도,2023,-5274.0,1530387.2857142857
강원특별자치도,2024,-10041.0,1521965.3333333333
충청북도,2023,-1589.0,1594051.4166666667
충청북도,2024,-2292.0,1591118.5833333333
충청남도,2023,7082.0,2126529.0
충청남도,2024,6455.0,2134405.5833333335
전북특별자치도,2023,0.0,
전북특별자치도,2024,-16067.0,1745261.4166666667
전라남도,2023,-13480.0,1810293.75
전라남도,2024,-15398.0,1794652.0833333333
경상북도,2023,-22982.0,2575934.1666666665
경상북도,2024,-22940.0,2541991.0
경상남도,2023,-29335.0,3262634.5
경상남도,2024,-22778.0,3236460.9166666665
제주특별자치도,2023,-2907.0,676620.8333333334
제주특별자치도,2024,-4884.0,672101.6666666666
